序号,名称,高德ID,等级,类型标签,详细地址,经度,纬度,电话号码,省份,城市,区县,官方网站,营业时间,图片链接(分号分隔),介绍
1,布达拉宫,B037B01F68,5A,风景名胜;风景名胜;世界遗产,北京中路35号,91.118463,29.654471,4008649111,西藏自治区,拉萨市,城关区,www.potalapalace.cn,,http://store.is.autonavi.com/showpic/abc43f4373ca7c3cd59e884283c31051;http://store.is.autonavi.com/showpic/9e29ebc1fbe5bb29f2fc83aa17bdb71d;http://store.is.autonavi.com/showpic/c3e5ab3969cc820a3deef36bca70ea7b,世界上海拔最高的宫殿、城堡和寺院一体的宏伟建筑，藏族古建筑艺术的精华。
2,大昭寺,B037B00F2D,5A,风景名胜;风景名胜;寺庙道观,八廓西街2号,91.132802,29.650209,[],西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/df5a8b4a1a882cedaebee0a32f516e7c;http://store.is.autonavi.com/showpic/4d8cea6f56858f38e4a7247d37d83a7f;http://store.is.autonavi.com/showpic/7f02d79802c5cf3d86762e0bcd7b31b2,藏传佛教信徒朝圣的终点，在藏传佛教中拥有至高无上的地位。
3,扎什伦布寺,B037C002S6,5A,风景名胜;风景名胜;寺庙道观,朗卡路1号,88.871941,29.265392,0892-8828370,西藏自治区,日喀则市,桑珠孜区,[],,http://store.is.autonavi.com/showpic/eaf2ab7e747a5e10a2c3157237080c84;http://store.is.autonavi.com/showpic/123581f40244684cc8edae5a012232ea;http://store.is.autonavi.com/showpic/25557d8bc7efb6cc0a746c6e53d62e1b,日喀则地区最大的寺庙，历代班禅额尔德尼的驻锡地，格鲁派六大寺院之一。
4,巴松措,B037E0M3PB,5A,风景名胜;风景名胜;风景名胜,靠近达切拉观光台,93.967899,30.007874,0894-5717745,西藏自治区,林芝市,工布江达县,[],,http://store.is.autonavi.com/showpic/5cf852159a40e956aa76b02bd2de213f;http://store.is.autonavi.com/showpic/247a0d0948f3b2b93486da91007ffe66;http://store.is.autonavi.com/showpic/37369a748a47e17737d266ae8b499395,红教的一处著名神湖和圣地，湖水清澈碧绿，四周青山如黛。
5,雅鲁藏布大峡谷,B037E004U9,5A,风景名胜;风景名胜;国家级景点,派镇,94.937467,29.612778,0894-5483611,西藏自治区,林芝市,米林市,[],,http://store.is.autonavi.com/showpic/c39f3403de7d84e33ebff0316e8aa159;http://store.is.autonavi.com/showpic/32d99b5e80ca42a714a3ed3f892f6a14;http://store.is.autonavi.com/showpic/a398e4eb7351d788a7ce0bb19cf902f8,地球上最深的峡谷，被誉为“人类最后的秘境”，景色壮丽。
6,罗布林卡,B037B01C57,4A,风景名胜;风景名胜;世界遗产,罗堆东路,91.092479,29.651619,[],西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/6795bf614b062fbbcd95c1c1f17d03a7;http://store.is.autonavi.com/showpic/12297e331439ac7ee0030097f2f04bbc;http://store.is.autonavi.com/showpic/29b0ea9d90010a7616658806138c2eef,历代达赖喇嘛的夏宫，西藏人造园林中规模最大、风景最佳的园林。
7,西藏博物馆,B037B00866,4A,科教文化服务;博物馆;博物馆,罗布林卡路34号,91.098894,29.648382,0891-6839222;0891-6835244,西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/92dbc5423b126b7884d1295077870f6d;http://store.is.autonavi.com/showpic/6216c6c6d0f25fba7ca6e64ab3e85329;http://store.is.autonavi.com/showpic/09b1327f9d186d2433b690ee8c814a13,西藏唯一的综合性国家一级博物馆，展示了西藏的历史文化和民俗风情。
8,哲蚌寺,B037B0056D,4A,风景名胜;风景名胜;寺庙道观,当巴路与扎基西路交叉口东140米,91.049889,29.673206,[],西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/928935f92625f21c61dc40ef3e64f67a;http://store.is.autonavi.com/showpic/c2d28383a6f34f0bd902892b8d286c79;http://store.is.autonavi.com/showpic/b192cee341ae7c70e31bc49ac5084630,藏传佛教格鲁派六大寺院中规模最大的一座，每年雪顿节都会举行盛大的展佛活动。
9,西藏牦牛博物馆,B0G1JK4G6U,4A,科教文化服务;博物馆;博物馆,柳梧乡柳梧新区察古大道16号,91.088343,29.620262,0891-6380000,西藏自治区,拉萨市,堆龙德庆区,[],,http://store.is.autonavi.com/showpic/30ffb6effdfae76ad3ae07424fa8a3bf;http://store.is.autonavi.com/showpic/fc015275307bfe72a7e7d59d6ff225f8;http://store.is.autonavi.com/showpic/ecd55db9e89b23aab21408ecafa38233,世界上唯一一座以牦牛为主题的博物馆，展示牦牛与藏族人民的深厚渊源。
10,西藏自然科学博物馆,B0FFH4SLBL,4A,科教文化服务;博物馆;博物馆,纳金街道藏大东路9号,91.182052,29.646855,0891-6401062,西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/fe41f27428bb2020ebef8f347f6d616a;http://store.is.autonavi.com/showpic/68f6a43b009b64d7a9dff63f7e6904f4;http://store.is.autonavi.com/showpic/696ac7bae3b603abfaa03967eaa1ea4f,集自然、科技、展览于一体，展示青藏高原独特的自然生态。
11,文成公主文化旅游主题园,B0FFKFEU17,4A,风景名胜;风景名胜;国家级景点,蔡公堂乡慈觉林文成大道,91.146253,29.623845,[],西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/1934a84936a344bdf8bb53f4c0213de7;http://store.is.autonavi.com/showpic/a50ae197d0bc693f10f9e4b05ff7ceca;http://store.is.autonavi.com/showpic/e0370c86105698998b7207b0b7c274d0,以大型实景剧《文成公主》为核心，展示唐蕃古道文化和藏族风情。
12,象雄美朵景区,B0FFLBVCRT,4A,风景名胜;风景名胜;风景名胜,乃琼镇波玛村109国道旁,90.866361,29.7046,0891-6791999,西藏自治区,拉萨市,堆龙德庆区,[],,http://store.is.autonavi.com/showpic/f1960c68b890f6f9cf53f34803ed000e;http://store.is.autonavi.com/showpic/211dd9c565bcb972eeeab70373cbccfa;http://store.is.autonavi.com/showpic/2e11742e0786df75935f86b7f23bc1fb,集自然风光、民俗体验、休闲度假为一体的综合性景区。
