序号,景区名称,高德ID,类型标签,详细地址,经度,纬度,电话号码,省份,城市,区县,官方网站,营业时间,图片链接(分号分隔)
1,西藏博物馆,B037B00866,科教文化服务;博物馆;博物馆,罗布林卡路34号,91.098894,29.648382,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/92dbc5423b126b7884d1295077870f6d
2,介观当代艺术博物馆,B0FFKMLHZO,科教文化服务;科教文化场所;科教文化场所,两岛街道滨河路2期,91.135325,29.63824,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0FFKMLHZO/comment/AA53EE19_5246_4CF6_9C59_1C1C281EFA6A_L0_001_2000_133_1750231190390_72404282.jpg
3,西藏非物质文化遗产博物馆,B0JD7N9FKT,科教文化服务;博物馆;博物馆,102乡道拉萨河畔慈觉林文城大道,91.147427,29.625187,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0JD7N9FKT/comment/content_media_external_images_media_1000188846_ss__1727329152509_76208824.jpg
4,西藏牦牛博物馆,B0G1JK4G6U,科教文化服务;博物馆;博物馆,柳梧乡柳梧新区察古大道16号,91.088343,29.620262,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/30ffb6effdfae76ad3ae07424fa8a3bf
5,西藏藏经博物馆,B0FFJS5XWD,科教文化服务;科教文化场所;科教文化场所,钟彬诊所北侧120米,91.14049,29.620828,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0FFJS5XWD/comment/content_media_external_images_media_1000037489_ss__1728802306305_62439398.jpg
6,西藏自然科学博物馆,B0FFH4SLBL,科教文化服务;博物馆;博物馆,纳金街道藏大东路9号,91.182052,29.646855,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/fe41f27428bb2020ebef8f347f6d616a
7,颠倒博物馆(拉萨店),B0L2HZAXRI,科教文化服务;博物馆;博物馆,功德林天街2层,91.109276,29.654846,,西藏自治区,拉萨市,,,,https://store.is.autonavi.com/showpic/72b4f646abf45ba3b356ff9128a38440
8,唐卡之都博物馆,B0G17RYZJY,科教文化服务;博物馆;博物馆,鲁固一巷夏扎大院内,91.133736,29.648358,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/1223e466d09e77dd82d68de268845319
9,西藏工业博物馆,B0HKHUBPNT,科教文化服务;博物馆;博物馆,北京西路133号(原拉萨老水泥厂),91.041007,29.65247,,西藏自治区,拉萨市,,,,https://store.is.autonavi.com/showpic/321c942aacc044ebc1c70f4009e76561
10,群觉古代兵器博物馆,B0FFL24NDB,科教文化服务;博物馆;博物馆,甲玛乡龙达村,91.661614,29.763304,,西藏自治区,拉萨市,,,,
